,POSITION_X,POSITION_Y
37419,12.699739323452777,47.9557066854871
37420,12.683180620007787,47.984388861391935
37421,12.68353304739792,48.044628097743555
37422,12.849614261106556,47.94507396801265
37423,12.757628205819197,48.10836930639664
37424,12.80390244385099,48.07964828621923
37425,12.749499798158107,48.0471208243533
37426,12.656212026599125,48.020843132205506
37427,12.632833940348299,47.98298301071743
37428,12.649004105819358,47.8805076052839
37429,12.554749614592708,47.57425666297564
37430,12.574603874924065,47.57953236890836
37431,12.652749494220158,47.543976726784535
37432,12.596841073754923,47.63057572997626
37433,12.583855912373796,47.5288968776126
37434,12.603037069620406,47.67733382969132
37435,12.600124618792243,47.6718765161298
37436,12.53423798704553,47.69881365182076
37437,12.574113688120876,47.662081303194554
37438,12.569401105650655,47.45832743484817
