POSITION_X,POSITION_Y
2.6783906596646605,8.904850400134501
2.6892183048325013,8.856650610875562
2.6989481956694794,8.842801489682225
2.7051045382936034,8.80989058343413
2.6696420164678583,8.83650921491129
2.66236552260587,8.860299438835426
2.652236330301937,8.79773407322365
2.615145167768961,8.808495318708179
2.643277977855927,8.777051393124957
2.6530200640933335,8.791492723431096
2.6533542034843234,8.76413581801562
2.682515597295659,8.745599328895837
2.679858489599783,8.71979504494924
2.6592570480919613,8.710453981149032
2.65607621021806,8.686754211984583
2.6536128930407643,8.666941267207829
2.619981722166464,8.645359811459608
2.647528457980418,8.635181708943229
2.630259416007865,8.612906766297469
2.6124699701806313,8.551783973798644
2.6283717589757,8.550794794964728
2.5934900336825693,8.553125519507406
2.6173627726608584,8.542761311980048
2.6310857987731664,8.547500460579885
2.654151520872787,8.523133867690664
2.6319050883495723,8.52349496991215
2.568,8.453
2.610356339355654,8.473499332076939
2.594069941054792,8.467871520424344
2.5748833946771033,8.444462238363702
2.5695161907577693,8.403492070928218
2.541905765463276,8.417990802083349
2.5219205028292846,8.420592109652306
2.505390958113994,8.388981390354116
2.467680909731642,8.43011312649076
2.4740029074758674,8.40208038874862
2.4577680335987617,8.394619957226285
2.3963683610753406,8.36225631178361
2.3971441405699196,8.382685323464742
2.3731856806559795,8.41582422180365
2.3916756978855886,8.377867459677905
2.3724420759684213,8.349138557583773
2.381646354234844,8.277430340734025
2.3622978563948442,8.281403332216307
2.3739009484673588,8.277539301330263
2.368369471239437,8.286134647725536
2.350137221951866,8.256581672618108
2.369841516904391,8.242611365172674
